abandoned,air traffic control tower,belltower,bridge,casino,city,city_id,commercial,completed.year,country,country id,current,education,exhibition,floors above,government,height,hospital,hotel,id,industrial,is completed,is started,latitude,library,longitude,material,multiple,museum,name,number of purposes,observation,office,other,rank,religious,residential,retail,serviced apartments,started.year,telecommunications
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2018,US,163,under construction,FALSE,FALSE,70,FALSE,278.5799866,FALSE,FALSE,14783,FALSE,TRUE,TRUE,40.75352859,FALSE,-74.00289917,concrete,FALSE,FALSE,15 Hudson Yards,1,FALSE,FALSE,FALSE,59,FALSE,TRUE,FALSE,FALSE,2014,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Dallas,1554,FALSE,0,US,163,vision,FALSE,FALSE,0,FALSE,278.2799988,FALSE,TRUE,9263,FALSE,FALSE,FALSE,0,FALSE,0,concrete,FALSE,FALSE,Dallas Tower,2,FALSE,TRUE,FALSE,60,FALSE,FALSE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Houston,1593,FALSE,1982,US,163,completed,FALSE,FALSE,64,FALSE,274.6300049,FALSE,FALSE,661,FALSE,TRUE,TRUE,29.73719025,FALSE,-95.46121216,steel,FALSE,FALSE,Williams Tower,1,FALSE,TRUE,FALSE,61,FALSE,FALSE,FALSE,FALSE,1981,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2018,US,163,under construction,FALSE,FALSE,42,FALSE,272.2000122,FALSE,FALSE,14787,FALSE,TRUE,TRUE,40.7604599,FALSE,-73.97109985,composite,FALSE,FALSE,425 Park Avenue,1,FALSE,TRUE,FALSE,62,FALSE,FALSE,FALSE,FALSE,2015,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Seattle,1680,FALSE,0,US,163,proposed,FALSE,FALSE,60,FALSE,270.6600037,FALSE,FALSE,16020,FALSE,FALSE,FALSE,47.6043396,FALSE,-122.3336105,steel,FALSE,FALSE,888 2nd Avenue,2,FALSE,TRUE,FALSE,63,FALSE,TRUE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Dallas,1554,FALSE,1986,US,163,completed,FALSE,FALSE,56,FALSE,270.0599976,FALSE,FALSE,683,FALSE,TRUE,FALSE,32.78126144,FALSE,-96.80191803,steel,FALSE,FALSE,Renaissance Tower,1,FALSE,TRUE,FALSE,64,FALSE,FALSE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2016,US,163,architecturally topped out,FALSE,FALSE,52,FALSE,267.6700134,FALSE,FALSE,13326,FALSE,TRUE,TRUE,40.75284958,FALSE,-74.00132751,composite,FALSE,FALSE,10 Hudson Yards,1,FALSE,TRUE,FALSE,65,FALSE,FALSE,FALSE,FALSE,2013,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Charlotte,1544,FALSE,1992,US,163,completed,FALSE,FALSE,60,FALSE,265.480011,FALSE,FALSE,711,FALSE,TRUE,TRUE,35.22729111,FALSE,-80.84208679,concrete,FALSE,FALSE,Bank of America Corporate Center,1,FALSE,TRUE,FALSE,66,FALSE,FALSE,FALSE,FALSE,1989,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2011,US,163,completed,FALSE,FALSE,76,FALSE,265.1799927,FALSE,FALSE,699,FALSE,TRUE,TRUE,40.71086121,FALSE,-74.00566864,concrete,FALSE,FALSE,Eight Spruce Street,1,FALSE,FALSE,FALSE,67,FALSE,TRUE,FALSE,FALSE,2006,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Chicago,1539,FALSE,1989,US,163,completed,FALSE,FALSE,66,FALSE,265,FALSE,TRUE,708,FALSE,TRUE,FALSE,41.8996582,FALSE,-87.62471008,concrete/steel,FALSE,FALSE,900 North Michigan Avenue,4,FALSE,TRUE,FALSE,68,FALSE,TRUE,TRUE,FALSE,0,FALSE
